window,priority,tactic,target_segment,expected_open_rate,est_conversion_rate,resource_level,roi_estimate
0-30 days post-tournament,1,Welcome email series for new fans,All new acquisitions,38-45%,12-18%,Low,3.2x
0-30 days post-tournament,2,Sponsor co-branded content push,"Casual Viewer, New to Soccer",28-35%,8-12%,Medium,2.1x
0-30 days post-tournament,3,Season ticket early-bird offer,Converted Fan,42-55%,22-30%,Low,4.8x
31-60 days post-tournament,1,Lapsed fan re-engagement campaign,Lapsed Fan,25-32%,9-14%,Medium,2.7x
31-60 days post-tournament,2,Merchandise limited edition drop,"Converted Fan, Lapsed Fan",36-44%,15-22%,Medium,3.1x
31-60 days post-tournament,3,Sponsor renewal outreach with brand lift data,Sponsor partners,N/A,65-80%,High,5.5x
61-90 days post-tournament,1,Club partnership upsell for MLS clubs,Converted Fan,38-48%,18-26%,High,4.2x
61-90 days post-tournament,2,Loyalty program enrollment push,All retained fans,30-40%,20-28%,Medium,3.8x
61-90 days post-tournament,3,Youth/family segment content series,New to Soccer,22-30%,7-11%,Low,1.9x
90+ days,1,Annual renewal & loyalty tier upgrade campaign,"Converted Fan, Loyalty",44-58%,28-38%,Medium,5.1x
90+ days,2,Churn-risk intervention (high-risk cohort),High churn risk fans,18-26%,6-10%,High,2.3x
90+ days,3,New market expansion — diaspora targeting,New to Soccer,24-32%,9-14%,High,2.8x
